가게이름,리뷰내용,리뷰별점
28총각,"괜춘.. 괜춘함
좀 좁긴 한데
맛남",5
28총각,점심 돈가스 고기 두툼하고 맛좋고 순두부찌게까지 푸짐하게 먹을수있어서 최고인데 아쉬운게 혼자가면 먹기가 힘들다 혼밥좌석 촘촘하게 만들어주세요,5
28총각,"밑반찬 맛깔나고 돈까스도 갓튀겨서 나옴
직원분들 너무 친절
줄서서라도 가는점심맛집",5
28총각,"맛있고 직원분들도 친절. 공휴일, 주말에 안하시는게 아쉬워요ㅠ",4
28총각,"저녁엔 가본적없지만, 점심 돈까스 굉장히 맛있습니다. 계속 리필할수있고 부드럽고 친절하네요.
유일한 단점은 점심에 혼자먹으려면 12:30부터 가능하다는점. 저녁엔 돈까스를 팔지 않는다는점.
확장해서 혼자 손님도 받는 전용 좌석이 생겼으면 좋겠네요.",5
28총각,점심 무한리필은 갓갓입니다.,5
28총각,런치 가성비 굿,3
28총각,"평일 점심 웨이팅이 있을 정도로 인기가
많음. 돈까스가 무한리필인데 두부가 들어간 특제 소스가 독특하고 맛남. 
된장찌개, 비빔국수도 같이 제공되는데 조합이 되게 좋았음.",5
28총각,"점심 백반 돈까스 무한리필집
바로바로 튀겨줘서 너무맛잇어유",4
28총각,맛있습니다 준비된 양이 한정된 거 빼곤 전반적으로 만족합니다 !,5
28총각,"평일 점심에만 돈까스 백반을 먹을 수 있습니다. 돈까스 고기 퀄리티가 좋고, 반찬도 잘 나오고, 무한 리필이라서 좋습니다. 돈까스 소스가 살짝 물리는 맛이라 조금 아쉽지만, 무한리필인 것을 감안했을 때 퀄리티가 매우 좋습니다.",5
28총각,재방문 의사 있습니다~~,4
28총각,"음식맛 일품에 가성비 최고 맛집
집에 가기전에 술 한 잔에 사시미. 통우럭탕을 먹고 싶으면 꼭 들러야 할 이자가야~",5
28총각,Sashimi 1 Plate @ Dinner,4
28총각,"다박!
평생먹은 돈까스 중 쵝오의 맛!",5
28총각,"순두부찌게 방심하고 순두부씹으면 혀 화상우려되고 찬도 이정도면 좋아요. 뜨거운 순두부찌게 먹느라 돈까스 1장 덜 먹었네요. 쌀은 고급지지 않은데 잘 지었고요.
돈까스 먹으러 갔고 2+2+1먹었는데 안느끼합니다. 마무리시간 직전에 혼자갔는데 4인테이블에 앉으라고 해서 부담없이 리필해서 맛있게 먹었습니다. 
왠만한 돈까스집보다 낫다.",5
28총각,"점심 돈까스 무한리필인데 따끈따끈한 돈까스를 계속 먹을 수 있습니다
약간 물리기 좋은 소스에 테이블 회전이 빨라 빠르게 식사를 마쳐야할것같은 압박감이 아쉽지만 점원분들도 친절하고 좋습니다",5
28총각,"손님들 줄세우기가 유명한집
예약도 불가, 일행 전체 안오면 입장도 불가 미리 주문이나 계산도 불가
너 아니어도 올사람 많으니 싫으면 마라는 전형적인 사장이 갑인 멋있는 음식점",1
28총각,"줄을 길게 서야되며 평일 점심시간에만 영업을 하지만,  돈까스 고기에서 약간의 육즙과 함께 두툼한 크기에 비해 가격에 비교 부드러운 맛과 양에 저렴하고 푸짐하여 재방문 의사가 확고한 맛집",4
VIP참치 서소문점,"넘 맛나요
친절 짱
리필 거의 무한

아 ᆢ
넘 기안은 참치집",5
VIP참치 서소문점,"음식점 리뷰 처음 남기는 곳이네요.
회사 근처에 있어서 자주 가는데,, 
음식도 물론 좋구요. 
주방장님, 서빙하시는 분들 정말 친절하세요. 
요즘 점심 예약이 잘 안되서 아쉬울 뿐입니다.",5
VIP참치 서소문점,"맛도 좋고 서비스도 좋네요
이 근처 올 때마다 들릴게요",5
VIP참치 서소문점,퀄리티도 좋고 실정님이 친절하시네요 만족이여,4
VIP참치 서소문점,"도다리쑥국이 제일 맛있고
회도 전체적으로 퀄리티가 좋았다
조금 기름진 점이 단점
쭈꾸미나 반찬도 전반적으로 맛있었다",4
VIP참치 서소문점,"전복 직화구이 서비스까지!
맛있습니다",5
VIP참치 서소문점,맛도 좋고 서비스도 많이나오고... 회식할때마다 항상 옵니다 특히 매니저님과 실장님이 다른 지점보다 잘 챙겨주셔서 두둑히 먹고갑니다,5
VIP참치 서소문점,"핏물 흥건, 힘줄 질깃한 참치 초밥
예전엔 괜찮았는데,",2
VIP참치 서소문점,적당히 먹기 좋은 참치집🖖,4
VIP참치 서소문점,"전화 예약 후 방문 했는데, 바 자리로 예약해주신다고 하셔서 갔더니 재료준비하는 곳에 의자 두개 놓고 앉혔습니다(사진에 보면 알수있듯이 바로앞에 참치회 놓는 접시 7개-처음엔 더많았음) 접시놓는곳 앞에 앉히는게너무 이상하고 바에앉은건 저와 일행 단둘 뿐이었습니다
음식이 놓인곳 옆쪽에는 (바자리가 아니라는 증거) 나가기 위해 준비된 메뉴들이 쌓여있고, 의자바로 옆에는 트롤리 세개정도가 놓여서 계속해서 서빙하며 왔다갔다했습니다. 직원도 거기서 식사는 안할것같았고, 왜 이자리를 안내했냐 물으니 예약때부터 바 자리라고 말했다고 대응하셔서, 여기서 드시는분들이 있냐 물으니 2명까지만 받는다면서, 가게구조를 알고있는줄 알았다고 대답하셨습니다
그리고 타 지점과 달리 참치회 첫 서빙 접시부터 해동안된상태였습니다.
아그리고 아래분도 후기 남기셨는데, 저희도 코스메뉴인데 치킨 못받았습니다. 옆에 치킨 그릇 쌓여있었고 타 매장 동일 코스먹을 때 치킨 받았습니다",1
VIP참치 서소문점,여기 최고예요 너무 음식 너무 맛있고 친절하고 좋은 부위 나왔다고 직접 오셔서 얹어주시고 가족끼리 가서 너무 만족하고 왔어요 재방문 의사 완전 있어요🫶,5
VIP참치 서소문점,괜찮은 곳이에요 제가 방문했을 때는 해동도 좋고 서비스도 좋았고 가격도 합리적이었습니다,4
VIP참치 서소문점,참치는 좋은 부위가 나오진 않으나 비리진 않아요. 주문할때 참치 코스만 물어봐서 몰랐는데 활어를 뺄수 있었군요? 안알려주시더라구요? 당연히 체크해야 하는거 아닌가요? 주문하고 1분만에 참치 나온걸 봐서는 세팅해뒀던거 주는건 확실한듯해요. 밑반찬은 별로 안나오고.. 다 엄청나게 짰어요 국이랑 스끼다시 다;; 너무 물려서 사이다로 간신히 버텼네요 별로 신경써주는것 같지도 않고 리필받은 참치는 너무 해동이 많이 되어서 물컹거리고ㅠ 룸에서 먹었는데 아니 당연히 참치집 룸으로 예약하면 먹는거 봐가면서 신경써주시는거 아닌가요.. 반찬 다 식고 먹은지 삼십분 오십분 되도록 다음 나올 스끼다시랑 참치를 안주길래 국 하나 반찬 하나 먹으려면 계속 콜해야하더라고요? 나오면서 보니 다른 테이블은 저렴한 코스도 치킨을 주는것 같던데 우리 테이블은 안주더군요 ㅋㅋㅋㅋ 서비스 품질이 개판.. 다신 안갈것 같아요,1
