store_id,store_name,address,phone,openhours,facilities,hashtags,categories,main_image_url
1,만리재비스트로,서울 중구 만리재로 201 1층 (우)04508,02-393-1824,"{'화': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '수': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '목': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '금': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '토': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '11:30 ~ 24:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '12:00 ~ 01:00', '라스트오더': None, '브레이크타임': None}}","['예약가능', '포장가능']","['#데이트코스', '#비스트로', '#빈티지분위기', '#소개팅', '#수제맥주', '#코스요리', '#피맥', '#혼술', '#제로페이']",['양식'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5f32a1b8176738bebf54bb578ff290bb96320e1e%3Foriginal
2,두툼,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호 (우)04502,02-392-8592,"{'화': {'영업시간': '15:30 ~ 24:00', '라스트오더': '23:30', '브레이크타임': None}, '수': {'영업시간': '15:30 ~ 24:00', '라스트오더': '23:30', '브레이크타임': None}, '목': {'영업시간': '15:30 ~ 24:00', '라스트오더': '23:30', '브레이크타임': None}, '금': {'영업시간': '15:30 ~ 24:00', '라스트오더': '23:30', '브레이크타임': None}, '토': {'영업시간': '13:00 ~ 24:00', '라스트오더': '23:30', '브레이크타임': '15:00 ~ 15:30'}, '일': {'영업시간': '13:00 ~ 24:00', '라스트오더': '23:30', '브레이크타임': '15:00 ~ 15:30'}, '월': {'영업시간': '15:30 ~ 24:00', '라스트오더': '23:30', '브레이크타임': None}, '휴무일': {'영업시간': '추석당일, 설당일', '라스트오더': None, '브레이크타임': None}}","['와이파이', '휠체어사용']",['#드라이에이징'],"['육류', '고기']",//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1feecc1cf925f8ce8fd935e38b871cc79e372577%3Foriginal
3,공일부엌,서울 중구 만리재로 209 1-2층 (우)04508,010-6622-0195,"{'화': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:00'}, '수': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:00'}, '목': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:00'}, '금': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:00'}, '토': {'영업시간': '11:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 16:30'}, '일': {'영업시간': '11:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 16:30'}, '월': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:00'}}","['예약가능', '포장가능', '와이파이', '동물출입']","['#만리동맛집', '#서울역맛집', '#서울역한식맛집', '#수육맛집', '#찜닭맛집', '#단체석', '#선한영향력가게', '#한식레스토랑', '#한식주점', '#회식장소', '#제로페이']",['한식'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAD75DD96318F4DBCB08B115DB4624359
4,철길떡볶이,서울 서대문구 충정로 35-6 (우)03737,02-364-3440,"{'화': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '수': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '목': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '금': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '토': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:00 ~ 20:00', '라스트오더': None, '브레이크타임': None}, '휴무일': {'영업시간': '매주 토요일', '라스트오더': None, '브레이크타임': None}}","['포장가능', '와이파이']","['#노포', '#제로페이']",['떡볶이'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F954c1a6e76cecf088caad5bee3979b32e428c498%3Foriginal
5,정원레스토랑 어반가든,서울 중구 정동길 12-15 1층 (우)04516,02-777-2254,"{'화': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '수': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '목': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '금': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '토': {'영업시간': '10:30 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '11:00 ~ 21:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:00 ~ 22:00', '라스트오더': None, '브레이크타임': None}, '휴무일': {'영업시간': '추석당일', '라스트오더': None, '브레이크타임': None}}","['예약가능', '배달가능', '포장가능', '와이파이', '동물출입', '주차가능', '휠체어사용']","['#가족모임', '#데이트코스', '#돌잔치', '#상견례', '#소개팅', '#야외정원', '#일회용품없는가게', '#친목모임', '#카카오페이', '#제로페이']","['스테이크', '립']",//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F17E475D20E2E41988DEF6B3856D2B7A8
6,유즈라멘 만리동점,서울 중구 만리재로 217 경김회관 1층 (우)04508,070-4177-0365,"{'화': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': '15:00 ~ 17:00'}, '수': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': '15:00 ~ 17:00'}, '목': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': '15:00 ~ 17:00'}, '금': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': '15:00 ~ 17:00'}, '토': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': None}, '일': {'영업시간': '11:00 ~ 21:00', '라스트오더': '20:30', '브레이크타임': None}, '월': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '휴무일': {'영업시간': '매주 월요일', '라스트오더': None, '브레이크타임': None}}",[],"['#데이트코스', '#혼밥', '#제로페이']",['일본식라면'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9F206C125F95434D92261A3A9511C97E
7,중림장,서울 중구 청파로 459-1 (우)04505,02-392-7743,"{'화': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 17:00'}, '수': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 17:00'}, '목': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 17:00'}, '금': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 17:00'}, '토': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '09:00 ~ 21:00', '라스트오더': None, '브레이크타임': '15:30 ~ 17:00'}}","['예약가능', '포장가능', '주차가능']","['#노포', '#제로페이']",['설렁탕'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FWA2Yx%2FbtsL1ERozhj%2FDyrzuJ9RVbDYurgskJiVSk%2Fimg.jpg
8,베리키친,서울 중구 만리재로 205 1층 (우)04508,02-312-0205,"{'화': {'영업시간': '11:00 ~ 23:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:30'}, '수': {'영업시간': '11:00 ~ 23:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:30'}, '목': {'영업시간': '11:00 ~ 23:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:30'}, '금': {'영업시간': '11:00 ~ 23:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:30'}, '토': {'영업시간': '17:30 ~ 23:00', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:00 ~ 23:00', '라스트오더': None, '브레이크타임': '15:00 ~ 17:30'}, '휴무일': {'영업시간': '설전날, 설당일, 설다음날, 1월1일', '라스트오더': None, '브레이크타임': None}}",[],"['#데이트코스', '#분위기좋은', '#소개팅', '#친목모임', '#제로페이']",['퓨전요리'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8B37E2CEAF54084ABF00D1D57404C0D
9,도마 중림점,서울 중구 중림로 31 1층 (우)04506,02-3147-0365,{},[],"['#수제맥주', '#점심식사', '#혼밥', '#제로페이']",['한식'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F16EE7520BB8F4D0A8A18B573489635DB
10,국민회관,서울 중구 만리재로 209-2 1층 1호 (우)04508,,"{'화': {'영업시간': '16:00 ~ 22:30', '라스트오더': '21:30', '브레이크타임': None}, '수': {'영업시간': '16:00 ~ 22:30', '라스트오더': '21:30', '브레이크타임': None}, '목': {'영업시간': '16:00 ~ 22:30', '라스트오더': '21:30', '브레이크타임': None}, '금': {'영업시간': '16:00 ~ 22:30', '라스트오더': '21:30', '브레이크타임': None}, '토': {'영업시간': '12:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': None}, '일': {'영업시간': '12:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': None}, '월': {'영업시간': '16:00 ~ 22:30', '라스트오더': '21:30', '브레이크타임': None}}",[],"['#레트로풍', '#회식장소', '#제로페이']",['삼겹살'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fac0e5b340df5eeff3351508ede9f026ce0880734%3Foriginal
11,서울부띠끄,서울 중구 만리재로 209-1 (우)04508,,"{'화': {'영업시간': '11:30 ~ 23:50', '라스트오더': None, '브레이크타임': '14:30 ~ 17:30'}, '수': {'영업시간': '11:30 ~ 23:50', '라스트오더': None, '브레이크타임': '14:30 ~ 17:30'}, '목': {'영업시간': '11:30 ~ 23:50', '라스트오더': None, '브레이크타임': '14:30 ~ 17:30'}, '금': {'영업시간': '11:30 ~ 23:50', '라스트오더': None, '브레이크타임': '14:30 ~ 17:30'}, '토': {'영업시간': '13:00 ~ 23:50', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '13:00 ~ 23:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '17:30 ~ 23:50', '라스트오더': None, '브레이크타임': None}}",[],"['#데이트코스', '#비스트로', '#소개팅', '#앤틱한', '#제로페이']",['양식'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F04a298bf54f8ca9d6dce29ee1c0a110cc89d842e%3Foriginal
12,닭칼원조집,서울 중구 청파로 457-1 1층 (우)04505,02-392-1134,"{'화': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '수': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '목': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '금': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '토': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '일': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:00 ~ 22:00', '라스트오더': '21:00', '브레이크타임': '14:00 ~ 17:00'}, '휴무일': {'영업시간': '매주 일요일', '라스트오더': None, '브레이크타임': None}}",[],"['#노포', '#전통음식', '#제로페이']",['닭요리'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd7468e8f062140f2664a47bdad39f25ebdb702d5%3Foriginal
13,호수집 원조닭꼬치,서울 중구 청파로 443 (우)04506,02-392-0695,"{'화': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '수': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '목': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '금': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '토': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '일': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:30 ~ 22:10', '라스트오더': '21:40', '브레이크타임': '14:00 ~ 17:00'}, '휴무일': {'영업시간': '매주 일요일', '라스트오더': None, '브레이크타임': None}}","['예약가능', '포장가능']","['#노포', '#제로페이']",['닭요리'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5d90d75234a73feaf5ce1dca6f75fb4b3589d9ae%3Foriginal
14,참맛장어,서울 서대문구 경기대로 82 지하1층 (우)03735,02-313-8576,{},[],"['#가족모임', '#앤틱한', '#점심식사', '#점심특선', '#친목모임', '#한옥스타일', '#회식장소', '#카카오페이', '#제로페이']",['장어'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtqtaUZVlzN_J8qp10IfAKym3vfgVSOEtk_img.jpg
15,28총각,서울 서대문구 통일로 107-21 1층 (우)03739,02-313-6358,"{'화': {'영업시간': '11:00 ~ 21:30', '라스트오더': None, '브레이크타임': None}, '수': {'영업시간': '11:00 ~ 21:30', '라스트오더': None, '브레이크타임': None}, '목': {'영업시간': '11:00 ~ 21:30', '라스트오더': None, '브레이크타임': None}, '금': {'영업시간': '11:00 ~ 21:30', '라스트오더': None, '브레이크타임': None}, '토': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '휴무일', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '11:00 ~ 21:30', '라스트오더': None, '브레이크타임': None}, '휴무일': {'영업시간': '매주 토요일, 일요일', '라스트오더': None, '브레이크타임': None}}",[],"['#경양식요리', '#점심식사', '#제로페이']",['일본식주점'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2293fe1d48dfd45e5c513c9f285c71f0eb0889bd%3Foriginal
16,만리재비스트로,서울 중구 만리재로 201 1층 (우)04508,02-393-1824,"{'화': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '수': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '목': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '금': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '토': {'영업시간': '11:30 ~ 01:00', '라스트오더': None, '브레이크타임': None}, '일': {'영업시간': '11:30 ~ 24:00', '라스트오더': None, '브레이크타임': None}, '월': {'영업시간': '12:00 ~ 01:00', '라스트오더': None, '브레이크타임': None}}","['예약가능', '포장가능']","['#데이트코스', '#비스트로', '#빈티지분위기', '#소개팅', '#수제맥주', '#코스요리', '#피맥', '#혼술', '#제로페이']",['양식'],//img1.kakaocdn.net/cthumb/local/C800x800.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5f32a1b8176738bebf54bb578ff290bb96320e1e%3Foriginal
